AB BA
may mya yam
mew wem
mho ohm
min nim
mir rim
mol olm
mon nom
moo oom
mop pom
mor rom
mos oms som
mot tom
moy yom
mum umm
mus sum ums
mut tum
mys sym
nap pan
nep pen
net ten
new wen
nip pin
noo oon
nos ons son
not ton
now own won
noy yon
nur run urn
nus sun uns
nut tun
nye yen
oar ora
oat tao
oes ose
oot too
opp pop
ops pos sop
opt pot top
ore roe
ort rot tor
ous sou
owe woe
ows sow wos
owt tow two wot
oys soy yos
par rap
paw wap
pay pya yap
per pre rep
pis psi sip
pit tip
pow wop
prs rps
pst pts tsp
pur urp
pus sup ups
put tup
puy yup
pwt twp
pye yep
raw war
rbi rib
rud urd
rue ure
rye yer
sat tas
saz zas
sey sye yes
sir sri
six xis
sny syn
sud uds
sue use
tau uta
tav vat
taw twa wat
tew wet
tye yet
uva vau
way yaw
wey wye yew
xiv xvi
xix xxi
AB's BA's
ACLU UCLA
AD's DA's
AM's MA's
ASSR SARS
Adan Adna
Adar Arad
Agar Agra
Alan Alna
Alar Aral
Alex Axel
Aram Arma
Arno Aron
BM's MB's
Baal Bala
Bale Bela
Bean Bena
Beat Beta
Bebe Beeb
Bedu Bude
Bern Bren
Bert Bret
Born Brno
Bors Bros
Brut Burt
CD's DC's
CT's TC's
Caro Cora
Cary Cray
Ceto Cote
Cleo Cole
Dais Dias Disa
Dali Dial
Dame Dema
Dane Dean Dena
Danu Duna
Dare Dear
Deus Duse
Dian Dina
Dino Dion
Eire Erie
Elam Elma
FM's MF's
Frey Frye
Gael Gale
Gail Gila
Gary Gray
Genl Glen
Haas Hasa
Hilo Holi
IV's VI's
Jane Jean Jena
KO'd OK'd
KO's OK's
Kahn Khan
Kali Kila
Kane Kean
Kano Kona
Kirs Kris
LSAT SALT
Lalo Lola
Lane Lean Lena
Laud Luda
Lebo Loeb
Lely Lyle
Leno Leon
Liam Lima
Lias Lisa
MP's PM's
Main Mani Mina
Mari Mira
Mary Myra
Moor Moro
NACA NCAA
Neil Nile
Nemo Nome
OHSA OSHA
Olar Orla
Olpe Opel
Omar Orma
Omer Orem
Oren Orne
Paar Para
Paul Pula
Peel Pele
Peru Prue
Piru Puri
Port Prot
Reid Ride
SWAT WATS
Saab Saba
Saar Sara
Saks Sask
Sami Siam
Saul Sula
Sean Sena
Tarn Tran
Tolu Toul
Tory Troy Tyro
Trey Tyre
Truk Turk
Vian Vina
aahs ahas
aals alas laas
abac caba
abas baas
abba baba
abbr barb
abed bade bead
abet bate beat beta
able albe bale blae
ably blay
abos boas obas soba
abri rabi
abut buat tuba
abys bays
aced cade dace ecad
acer acre care race
aces case ceas
ache each
achy chay
acid cadi caid
acme came mace
acne ance cane
acpt capt pact
acts cast cats scat
acyl clay lacy
adaw wada
adds dads
adit dita
ados odas soda
adry dray yard
adze daze
affy yaff
afro faro fora
agar raga
agas saga
aged egad gade
agen gaen gane gean gena
ager areg gare gear rage
ages gaes sage
agin gain
aglu gula
agly gyal
agma gama
ahed hade head
ahem haem hame
ahhs hash shah
ahoy hoya
aide idea
aids dais sadi said sida
ails sail sial sila
aims amis saim sima
ains anis sain
airn rain
airs aris rais rias sair sari
airt rait tiar
aits itas sati tais
aked kade
akes kaes keas sake
akin kain kina naik
alan anal lana nala
alba baal
albs bals labs slab
alec lace
alee eale
alef feal flea leaf
ales lase leas sale seal
alew wale weal
alfa fala
alga gala
alif fail fila
alky laky
alls sall
alma amla lama
alme lame leam male meal mela
alms lams slam
alod load odal
aloe olea
alps laps pals salp slap
also sola
alto lota tola
alts last lats salt slat
alum maul
amas maas masa sama
ambo boma
amen mane mean name nema
amid diam maid
amin anim main mani
amok mako
amps maps pams samp spam
amus masu
amyl lyam myal
anan anna naan nana
anas ansa
anat anta tana
ands dans sand
anes sane sean sena
anew wane wean
anga naga
anil lain nail
ankh hank khan
anno anon nona
ante etna neat tane
anti tain
ants nats sant tans
anyu yuan
aper pare pear rape reap
apes apse pase peas spae
apod dopa
apps paps
arak kara
arbs bars bras
arch char rach
arco orca
arcs cars scar
ards rads sard
ared dare dear eard read
ares ears eras sear
aret rate tare tear
arew ware wear
arfs fras
aria raia
arid dari raid
aril lair lari liar lira rail rial
arks ksar sark
arle earl laer lare lear rale real
arms mars rams
arna rana
arts astr rats star tars
arty tray
arum mura
arvo voar
aryl ryal
asci saic
ashy hays shay yahs
asks skas
asps pass saps spas
assn sans
asst tass
atap tapa
atar rata tara
ates east eats etas sate seat seta teas
atoc coat octa taco
atok okta
atom moat
auks skua
aunt naut tuan tuna
auth haut
auto outa
aval lava
avas vasa
aver rave vare vera
aves save vaes vase
avid diva
awdl wald
awed wade
awes waes wase
awls laws slaw
awns snaw swan wans
awny wany yawn
awry wary
axel axle
ayes easy eyas yeas
ayre eyra yare year
azon zona
azym mazy
bads dabs
bags gabs
bahs bash
baht bath
bait tabi
baju juba
bake beak
bald blad
balm blam lamb
bane bean nabe
bank nabk
bans nabs snab
bard brad darb drab
bare bear brae
bark kbar krab
barn bran
base sabe
bask kabs
bass sabs
bast bats stab tabs
baud daub
baur bura
bawl blaw
bawr braw
beam bema mabe
beds debs
beef feeb
been bene
beer bere bree
beet bete
bein beni bien bine
belt blet
bens nebs sneb
best bets
beys byes
bias isba
bibs sibb
bide dieb
bidi ibid
bids dibs
bier brei brie
bigs gibs
bike kibe
bima iamb
bins nibs snib
biol boil lobi
bios obis
bird drib
biro brio
bito obit
blog glob
blot bolt
blow bowl
blue lube
blur burl
boar bora
boat bota
bods dobs
body doby
bogs gobs
boho booh hobo
bohs bosh hobs
boko book kobo
boks bosk kobs
bole lobe
bolo lobo obol
bone ebon
bonk knob
boor broo
boos obos
boot boto
bore robe
borg brog
bors bros orbs robs sorb
boss sobs
bots stob
bout buto
boyg goby
boys sybo yobs
bozo zobo
brag garb grab
bris ribs
buds dubs
bugs gubs
bunk knub
buns nubs snub
burd drub
burg grub
burs rubs urbs
bury ruby
bush hubs
buss subs
bust buts stub tubs
busy buys
bute tube
cabs scab
cads scad
calk kcal lack
calm clam
calo coal cola loca
calp clap
cami mica
camo coma
cams macs masc scam
cans scan
cany cyan
capa paca
cape pace
caph chap
capi pica
capo paco
caps pacs
carb crab
cark rack
carn cran narc
carp crap
cash chas
cask sack
cate tace
cawk wack
caws scaw
cedi dice iced
ceil lice
celt lect
ceps pecs spec
cero core
cert rect
cess secs
chai chia
cham mach
chat tach
chem mech
chik hick
chin inch
chis hics ichs sich
chit itch tich
chou ouch
chum much
cine nice
cion coin coni icon
cist cits tics
cite etic tice
cito coit otic
cive vice
clix clxi
clod cold
clos cols
clot colt
clow cowl
cloy coly
clue luce
coax coxa
code coed deco ecod
cods docs
cogs scog
coif fico
coil loci
cole ecol
coms mocs
cone econ once
conk nock
cool loco
coop poco
coot toco
cops scop
cork rock
corp crop proc
cors orcs rocs
cose seco
cosh ochs
coss socs
cost cots scot
cows scow
cpus cups cusp scup
cram marc
cray racy
cred recd
crud curd
crus curs rucs scur
cuds scud
cued duce educ
cues ecus
cuif fuci
cums scum
cure ecru
cush such
cusk suck
cuts scut
dago goad
dags gads
dahl dhal
dahs dash shad
dale deal lade lead
dali dial laid
dals lads
dame made maed mead
damn mand
dams mads
daps pads
darg drag grad
darn nard rand
dart drat trad
dast tads
date tead
dato doat toad
daud duad
daur duar dura
dawn wand
daws swad wads
dawt wadt
deaf fade
deek deke eked
deem deme meed
deep peed
deer dere dree rede reed
dees seed
deet teed
defi fide
deid died
deil deli diel eild idle lied
dele leed
delf fled
dels elds seld sled
delt teld
demo dome mode moed
demy emyd
dene need
deni dine nide
dens ends neds send sned
dent tend
deny dyne
dern nerd rend
desk keds
deus dues sued used
deva vade
dews weds
deys dyes syed
diag gadi gaid igad
dies ides side
diet dite edit tide tied
difs fids
digs gids
dika kadi kaid
dime idem
dims mids
dink kind
dino nodi
dins nids sind
dint tind
diol idol lido loid olid
dips psid
dire ired ride
dish sidh
disk kids skid
dist dits tids
dive vide vied
divs vids
dods odds
doer dore redo rode roed
does dose odes
doge geod
dogs gods
dole lode loed
dols olds sold
dolt told
doms mods
done node
dons nods snod
doom mood
door odor ordo rood
doos odso
dope oped
dops pods spod
dora orad road
dorp drop prod
dors ords rods sord
dort trod
dosh hods shod
doss dsos sods
dost dots tods
dote toed
doty tody
doup updo
dour duro
dowl wold
drap pard prad
draw ward
drey dyer yerd
drow word
dual laud udal
duds sudd
duel dule leud lude
duer rude rued
duma maud
dune nude unde
dunt tund
duos ouds udos
dups puds spud
durn nurd rund
dust stud
dyed eddy
earn nare near rean
eath hate heat thae
echo oche
echt etch tech
edge geed
edhs shed
eeks ekes seek skee
eels else lees seel sele slee
efts fest fets tefs
egal gale geal
eger gere gree
eggy yegg
egma game mage mega
egos geos goes sego
ehed heed
elem leme
elev elve leve
elhi heil heli
elks leks
ells sell
elms mels
elmy lyme yelm ylem
elts lest lets tels
em's me's
emes mese seem smee
emfs fems
emic mice
emir meri mire riem rime
emit item mite time
emus meus muse
enew ween
engs gens negs
enol leno lone noel nole
eons noes nose ones sone
eorl lore orle role
epha heap
epic pice
epos opes peso pose
ergo goer gore ogre rego
ergs regs
eric icer rice
erks serk sker
erne reen
eros ores roes rose sore
errs serr
ersh hers rehs sher
erst rest rets ster
erub rube
eses esse sees sese
esne seen sene snee
espy pyes sype yeps
eten nete teen tene
ethe hete thee
eths hest hets shet
euks kues ukes
ever veer
eves vees
evil live veil vile vlei
ewer weer were
ewes wees
ewks skew
exon oxen
exul luxe ulex
eyed yede
eyen eyne
eyer eyre
eyot toey
fahs fash
fain naif
fair fiar
falx flax
fare fear frae
fart frat raft
fast fats
fate feat feta
fath haft
feel flee
feer free reef
feis fies seif
felt left
feni fine neif nief nife
fens nefs
feus fuse
fido foid
fief fife
file lief life
filo foil
fino foin info
fire reif rife
firs fris rifs
fisk kifs
fist fits sift
fitt tift
flit lift
flog golf
flor rolf
flow fowl wolf
flue fuel
foal loaf
fool loof
foos oofs
fore froe orfe
form from
four furo
fret reft terf
frit rift
fros orfs
furs surf
gair ragi
gait taig
gals lags slag
gams mags
gant gnat tang
gape page peag
gaps gasp
gars rags
gash hags shag
gast gats stag tags
gate geat geta
gaun guan
gaur guar ruga
gave vega
gays sagy yags
geld gled
gels legs
gems megs
geol goel loge ogle
gest gets stge tegs
gigs iggs
gila glia
gink king
gins sign sing snig
gird grid
girn grin ring
giro orig
girt grit trig
gist gits tigs
gite tige
gjus jugs
glen leng
glop golp
glow gowl
glue gule luge
gm's mg's
gnar gran rang
gnaw wang
gnus guns snug sung
goas sago
goat toga
gogo goog
gong nogg
gool logo
goop pogo
gork grok
gorp prog
gory gyro orgy
gosh hogs shog
goup upgo
gram marg
grig rigg
grip prig
gris rigs
grot trog
grue urge
gulp plug
guls lugs slug
guly ugly
gums mugs smug
gups pugs
gurn rung
gush hugs sugh ughs
gust guts tugs
guvs vugs
guys yugs
haes shea
hail hila
hale heal
halt lath
hams mash sham
hant tanh than
haps hasp pahs pash
hare hear rhea
hart rath tahr thar
hast hats tash
haul hula
haws shaw wash
heid hide hied
heir hire rehi
helo hole
hems mesh
hens nesh
hent then
heps pehs
herl lehr
hero hoer hore rheo
hews shew
hilt lith
hims shim
hing nigh
hins hisn shin sinh
hint thin
hips phis pish ship
hipt pith
hist hits shit sith this
ho's oh's
hoar hora
hoed ohed
hoes hose shoe
hoik hoki
hoke okeh
holk kohl
hols losh
hons nosh
hoop pooh
hoos ohos oohs shoo soho
hoot toho
hops hosp phos pohs posh shop soph
hors rhos
hort thro
host hots shot soth tosh
hout thou
hows show
huhs hush
hump umph
hums mush
huns shun
hups push
hurt ruth
husk sukh
huts shut thus tush
hyps phys syph
hyte they
ices sice
iglu ugli
ikat kati taki tika
ilka kail kali laik
ilks lisk silk
ills sill
illy lily yill
imam maim
imid midi
imps mips simp
init inti
inks kins sink skin
inly liny
inro iron noir nori roin
insp nips pins snip spin
inst nits snit tins
into oint
intr trin
invt vint
ires rise seir sire
iris siri
irks kirs kris risk
isle leis lies seil sile
isms miss sims
it's ti's
ital lati tail tali
izar riza zari
jane jean
japs jasp
jato jota
jaup puja
jest jets
jomo mojo
just juts
kaim kami maik
kale lake leak
kame make
kang knag
kans sank
kant tank
kaon koan
karn knar nark rank
kata taka
kats skat task
kaws skaw
kayo oaky okay
kays yaks
keel leek leke
keen knee
keep peek peke
kegs skeg
keir kier
kepi kipe pike
keps skep spek
kern nerk
kero kore roke
keta take teak
keto toke
keys kyes syke
khis kish
kiln link
kino oink
kips skip
kirn rink
kiss skis
kist kits skit
kiwi wiki
knit tink
knot tonk
know wonk
koas oaks okas soak
koel loke
kois oiks
kolo look
kora okra
kors roks
koto toko took
kram mark
kune neuk nuke
kyat taky
kyle yelk ylke
kyte tyke
kyus yuks
lady yald
lahs lash
lamp palm
lane lean neal
lant natl
lass sals
late leat tael tale teal tela
lave leva vale veal vela
lawk walk
lays slay
laze zeal
leap pale peal pela plea
leep peel pele
leer lere reel
leet teel tele
leir lier lire riel rile
leku luke
less sels
levo love vole
lewd weld
leys lyes lyse sley
lids sild slid
lien line
lilt till
lima mail mali
lime mile
limo milo moil
limp plim
lino lion loin noil
lins nils
lipa pail pial pila
lipe pile
lips lisp slip
list lits silt slit tils
lite teil tile
lm's ml's
loam loma mola
lobs slob
logs slog
loir roil
lome mole
loom mool
loon nolo
loop polo pool
loos solo sool
loot loto tool
lope olpe pole
lops pols slop
lose oles sloe sole
loss sols
lost lots slot
lote tole
loti toil
loud ludo
lout tolu
lowp plow
lows owls slow sowl
lues slue ules
lump plum
lums slum
luna ulan ulna
lure rule
lurs slur
lush shul
lusk sulk
lust slut
lute tule
lwei weil wile
lxiv lxvi
lyre rely
maar mara
maes mase meas mesa same seam
mair rami rima
maks mask
mana naam
mano moan mona noma
mans mnas nams
many myna
mare ream
mart tram
mast mats tams
mate meat meta tame team
mawr warm
maws swam wasm
mayo moya
mays yams
mdse meds
meer mere
meet mete teem teme
mein mien mine
memo mome
mene neem
meno nome omen
menu neum
meth them
mews smew wems
meze mzee
mhos mosh ohms shmo
mics misc
mils slim
mirs rims smir
miry rimy
moas soma
moes mose some
mogs smog
moit omit
moko mook
mols olms
moly moyl
mono moon
mons noms
moop pomo
moor room
moot toom
mope poem pome
mops poms
mora roam roma
more omer
morn norm
mors roms
moss soms
most mots toms
mote tome
mous muso soum sumo
mozo zoom
muir rimu
muss sums
must muts smut stum tums
nags sang snag
nape neap pane pean
naps pans snap span
nary yarn
nave vane vena
nays nyas
neep peen pene
neon none
neps pens
ness sens
nest nets sent sten tens
neut tune
nevi vein vine
news sewn wens
newt went
nipa pain pian
no's on's
nobs snob
nogs snog song
noop poon
nope open peon pone
nosy noys
note tone
noup upon
nous onus
nows owns snow sown wons
nowt town wont
nuns sunn
nurs runs urns
nuts stun tuns
nyes snye syne yens
nyet tyne
oafs sofa
oars osar soar sora
oast oats stoa taos tosa
ocas soca
oils silo soil
okes skeo soke
ombu umbo
oner rone
onst snot tons
onto oont toon
oofy yoof
oons soon
oops poos
oots soot
oppo poop
opts post pots spot stop tops
opus soup
orch roch
orra roar
orts rots sort stor tors
otto toot
ours sour
oust outs
oval vola
over rove
ower wore
owes owse woes
owly yowl
oyer yore
padi paid
paik pika
pais pias psia
palp plap
paly play
pars raps rasp spar
part prat rapt tarp trap
past pats spat stap taps
pate peat tape tepa
path phat
paty payt pyat
paul pula
paws swap waps wasp
pays pyas spay yaps
peds sped
peer pree
pees seep
peni pine
pepo pope
peri pier ripe
perm prem
perp prep repp
pert pret rept
pest pets sept spet step
pews spew
phot toph
pics spic
pies sipe
piso pois
piss psis sips
pits spit tips
plot polt
ploy poly
plur purl
plus puls
poas soap
poet pote tope
poor proo roop
poot topo
pore repo rope
porn pron
port trop
pory pyro ropy
poss sops
pour roup
pows wops
pram ramp
prao proa
pres reps resp
prey pyre rype
prom romp
prys spry
psst psts
puer pure
puir puri
puns spun
pups supp
purr rurp
purs spur urps
puss sups
puts supt tups
puys upsy yups
pyet type
pyot typo
qadi qaid
rahs rash
rake reak
rant tarn
rare rear
rato rota taro
rawn warn
raws wars
rays ryas
rees seer sere
refs serf
rein rine
rent tern
rete teer tree
revs vers
rhet tehr
rhus rush
riot roti tori trio
rips risp
ript trip
rite tier tire trie
rits stir
riva vair
rive vier
roky york
root roto toro
rort torr
rote tore
rout tour
ruds surd urds
rues ruse suer sure ures user
rugs surg
rums smur
runt turn
rusa sura ursa
rust ruts
ryke yerk
ryot troy tyro
saut taus utas
scye secy syce
seik sike
sett stet test tets
seys syes
sirs sris
sist sits
site ties
slew wels
sots toss
spaz zaps
spue supe
stat tats
staw swat taws twas wast wats
sted teds
stem tems
stew tews west wets
stey tyes yest
stot tots
stow swot tows twos wost wots
sues uses
suet utes
suit tuis
sulu ulus
sump umps
suni unis
swab wabs
swag wags
sway ways yaws
swig wigs
taal tala
tart trat
tate teat
tath that
tatu taut
tavs vast vats
thaw what
thew whet
tiny tyin
toes tose
tony yont
torn tron
tort trot
toun unto
trey tyer
trow wort
twae weta
twat watt
twee weet
tyde tyed
udon undo
uvas vaus
vagi viga
vail vali vial
vain vina
vest vets
veto vote
vies vise
view wive
virl vril
wail wali
wake weak weka
waly yawl
warp wrap
weir wire
weys wyes yews
whit with
wist wits
xciv xcvi
xxiv xxvi
xxix xxxi
yeti yite
yeuk yuke
youk yuko
zein zine
ABM's MBA's
APC's CPA's PAC's
Aalst Atlas
Aaron Anora Arona
Abner Arneb
Aesir Aries
Aetna Aneta
Amasa Asama
Andre Arden
Angel Angle
Arhus Ashur
Ary's Ayr's
Atari Atria
Bache Beach
Bacon Banco
Bader Beard Breda
Bahai Bahia
Barco Broca
Basel Beals
Basye Bayes
Bates Beats Betas
Beira Beria
Belus Blues
Berar Berra
Bercy Bryce
Biros Boris
Board Broad
Boley Boyle
Bornu Bruno
Brain Brian
Braun Burna
Bruch Burch
Bruin Bruni
Brusa Buras Bursa Busra
Bryon Byron
CPR's PRC's
Cains Canis
Caird Cidra
Calio Coila
Cando Conda
Canon Conan
Canso Cason
Carla Clara
Carlo Carol Coral
Carly Caryl
Carne Crane
Casey Cayes
Cenis Cisne
Ceres Crees
Chain Chian China
Cheer Chere
Coden Conde
DNA's NAD's
Dania Diana
Datel Delta
Davin Dvina
Deane Deena
Declo Delco
Denio Dione Donie
Donar Doran Drano
Ducor Duroc
Eglon Elgon
Elias Elisa
Elise Elsie
Eyeti Eytie
FSH's SHF's
Fates Fetas
Fidel Field
Gates Geats
Genro Goren
Greig Grieg
Handy Haydn
Hardy Hydra
Harte Herat
Heinz Hizen
Heron Horne
Horus Hours
Ian's Ina's
Jaime Jamie
Jains Janis
Jason Jonas
Kansu Kunas
Karyn Kynar
Keith Kieth
Klein Kline
LDL's LLD's
Ladin Linda
Ladon Lando
Lagro Largo
Laird Liard
Laius Luisa
Lao's Loa's
Larne Lerna
Lauri Luria
Lazio Loiza
Leila Lelia
Leman Lemna
Lenin Lenni
Lenny Lynne
Loews Lowes
Loire Lorie
Loran Lorna
Lyman Lynam
Mabel Mable Melba
Mai's Mia's
Maize Mazie
Maker Merak
Malin Milan
Mande Medan
Manes Means Mensa
Maori Mario Moira
Marat Marta
Marco Maroc
Marne Merna
Marti Mitra
Maxie Mexia
Mazon Monza
Meade Medea
Melos Mosel
Minot Minto
Mirza Mizar
Monet Monte
Monty Myton
Moors Moros
Negro Norge
Neo's Noe's
Nevin Niven
Nobel Noble
Olean Oneal
Olney Onley
Orcas Oscar
Pablo Polab
Pamir Priam
Pater Petra
Patty Pyatt
Peele Pelee
Perot Porte
Ports Prost
Rae's Rea's
Ramon Roman
Raton Rotan
Ravel Reval
Rayne Reyna
Regor Roger
Rhein Rhine
Roach Rocha
Roann Ronan
Saadi Saida
Sahel Selah
Saite Satie
Sakha Shaka
Sakti Sitka
Salem Selma
Salon Sloan
Santa Satan
Sarre Serra
Sedan Sedna Snead
Seton Stone
Sheri Shire
Short Stroh
Sibyl Sybil
Sir's Sri's
Stein Stine
Sudan Sunda
Tacan Tacna
Tagus Tsuga
Tai's Tia's
Taine Teian
Taino Tiona Tonia
Tamar Tamra
Telex Texel
Terra Traer
Terri Trier
Thais Tisha
Titus Tutsi
Tonys Tyson
Tuans Tunas
Vader Verda
Weald Welda
Weiss Wessi
Wiley Wylie
Wolof Woolf
Yates Yeats
aahed ahead
aba's baa's
abacs cabas
aband banda
abbas babas
abele albee
abets baste bates beast beats besat betas esbat tabes
abled baled blade
abler baler blare blear
ables bales blaes sable
ablet blate bleat table
abmho abohm
abode adobe
abord bardo board broad dobra
abort boart tabor
abrim mbira
abrin bairn brain
abris rabis sabir
absey abyes
absit baits tabis
abuse beaus
abuts buats tsuba tubas
abyss bassy
accel cecal
acerb brace caber
acers acres cares carse cesar escar races scare scrae serac
aches chase
acids asdic cadis caids
acmes cames maces
acned caned dance
acnes canes scena
acorn acron narco racon
acred arced cadre cared cedar raced
acrid caird cardi daric
act's cat's
acted cadet
actin antic
acton canto cotan octan
actor taroc
acyls clays scaly
adder adred aredd dared dread readd
addle daled dedal laded
adeem edema
adept pated taped
adits ditas staid tsadi
adman daman
admen amend deman maned named
adore oared oread
adorn radon
adown downa
adsum dumas mauds
adust dauts
advew waved
adzed dazed
adzes dazes
aedes eased
aesir arise raise reais serai
afire feria
aflaj falaj
afrit frati
afros faros sofar
after frate trefa
agami amiga
agamy gamay
agape apage
agars ragas
agent tenga
agers gears rages sager sarge segar
agger eggar gager
aggry raggy
agist gaits staig taigs
agita taiga
aglee eagle galee
aglus gulas gusla
agmas gamas
agone genoa
agree eager eagre geare ragee
agric cigar craig
agrin garni grain
agron argon groan nagor orang organ
agues usage
ahems haems hames shame
ahing anigh
ahint haint hiant
ahoys hoyas
aider aired deair irade redia
aides aside ideas
ailed ideal
aimed amide media
aimer maire ramie rimae
airns naris rains sarin
airts astir raits sitar stair stria tarsi tiars
ajwan jawan
aking kiang
akkas kakas
alaap alapa
alang lagan
alans anlas nalas nasal
alant natal
alarm malar ramal
alate talea
alays asyla
alb's lab's
albas baals balas balsa basal sabal
alcid calid
alder arled lader
aldol allod
ale's lea's
alecs claes laces scale
alefs false feals fleas leafs
aleft fetal
alert alter artel later ratel taler
algae galea
algas galas
algin align liang ligan linga
algor argol goral largo rolag
algum almug mulga
alibi biali
alien anile elain liane
alifs fails
alike alkie
alist litas tails
allot atoll
alloy loyal
almah halma hamal
almas amlas lamas
almeh hemal
almes lames leams males meals mesal samel
alods loads odals
aloft float flota
alone anole
along anglo logan longa
aloud doula
alp's lap's pal's
altar artal ratal talar
altos lotas salto stola tolas
alums mauls
alure laure ureal
amahs shama
amain anima mania
amass masas massa
amber brame bream embar
amble blame
ambos bomas sambo
ambry barmy
amene enema meane
amens manes manse means mensa names nemas samen
ament manet meant menta
amids maids
amies maise
amigo imago
